Gene_Name,Pseudogene_ID
MAPKWJMP2,ENSSG772391007
SOXDXB,ENSSG357076563
FGFRUA7P2,ENSSG491138369
BRCA13BC,ENSSG986752036
AKTFPL,ENSSG399042833
BRCALLL,ENSSG169881444
FGFR93B,ENSSG840020971
BRCAUQFL,ENSSG597175095
TP4NUB,ENSSG730681838
EGFRK21,ENSSG556638701
JAKSEP2,ENSSG212861151
AKTAIC,ENSSG413341415
SOXWD2,ENSSG125210797
HBB5TC,ENSSG111964920
STATXP7L,ENSSG099879688
GATAWZC,ENSSG355180490
AKTF80B,ENSSG010544851
SOXZPC,ENSSG468922541
LINCZU2L,ENSSG886379055
LINCLDA1,ENSSG118269913
AKTPF1,ENSSG481590002
MAPKEUP1,ENSSG305673369
EGFRO4OP2,ENSSG767416286
GATA9TL,ENSSG220203915
BRCAXN1,ENSSG019562884
HLA6I91,ENSSG489666031
GATAI0B,ENSSG323019227
HBBFT62,ENSSG024946586
MAPKDROP1,ENSSG090101366
HLAR6YP1,ENSSG709328519
MAPKKWN2,ENSSG333780106
AKT45PC,ENSSG779912115
AKT0XBA1,ENSSG897326130
BRCAWW1,ENSSG765981232
SOXCWDB,ENSSG716099781
HLALBP3,ENSSG952052215
MAPKJEDB,ENSSG899343483
AKT9KL,ENSSG544298422
SOXJ0S3,ENSSG610849097
AKT79P1,ENSSG997967406
JAK0W3,ENSSG385486158
MYCC9A1,ENSSG103915869
HLAGWTA1,ENSSG751122148
SOXYNB3,ENSSG006040990
JAKLV3,ENSSG559817201
GATAR7P2,ENSSG552243163
MYCB2L,ENSSG188794041
BRCAQTC,ENSSG253932076
GATAC6L,ENSSG249513622
AKTE5ZP2,ENSSG239392225
EGFRSMTB,ENSSG919994400
SOXXTGL,ENSSG628327683
AKTWE2,ENSSG271216881
CDKAVP1,ENSSG660886228
CDK782,ENSSG199921107
AKTVLYP2,ENSSG322841620
JAK63EP2,ENSSG521853673
CDKESP1,ENSSG425951991
BRCAWTFA1,ENSSG410277244
MYC55L,ENSSG300115613
GATAV9A1,ENSSG679576950
LINC3OGC,ENSSG456185861
TPYRLP1,ENSSG465970852
HLA3NWA1,ENSSG380470833
GATAZCEP1,ENSSG880157639
TPBLIB,ENSSG549352045
TPGM2,ENSSG228601405
HBBVKXP1,ENSSG290019868
MYCW17L,ENSSG185429905
MAPKERM3,ENSSG078996366
HBB1CGP1,ENSSG135304475
FGFR9PFC,ENSSG934236490
LINCKNR1,ENSSG152158588
TPZ4A1,ENSSG380299566
TPFO2,ENSSG023946447
MAPKB892,ENSSG562548190
AKTYXP1,ENSSG538041741
STATR9G3,ENSSG138101377
MAPKW6P2,ENSSG834723042
BRCA7ML,ENSSG647015278
HLA0HFC,ENSSG972578781
GATAB5L,ENSSG297764142
CDK2EHP1,ENSSG559010842
FGFR4OSC,ENSSG401328028
MYCSZC3,ENSSG553773990
FGFR42P1,ENSSG217337413
TPO1O3,ENSSG029018141
STATIU22,ENSSG935995194
STATXJA1,ENSSG500078530
EGFRDI81,ENSSG704085794
BRCAUS52,ENSSG215347410
TP82A1,ENSSG023545085
HBB9M71,ENSSG573311763
LINC3GB,ENSSG651906119
GATAA3DP1,ENSSG541082097
HLAIKJB,ENSSG353828447
HLAITA1,ENSSG877848281
BRCACE8L,ENSSG042547570
EGFRO012,ENSSG237123676
JAK49C,ENSSG824665751
SOXQBIP1,ENSSG718013556
HLAUR7P1,ENSSG539860639
HBBHZA1,ENSSG077187277
AKTMT1L,ENSSG263995659
MYCNII3,ENSSG562627283
AKTBHIP1,ENSSG374400860
JAKSK5L,ENSSG040953505
LINCLQZ2,ENSSG555932726
SOXY31,ENSSG694401682
AKT4MEP2,ENSSG288850044
MAPKRLP2,ENSSG846976363
LINCZZA1,ENSSG892049574
SOXI4WC,ENSSG043163430
MYC81P2,ENSSG573174776
AKT2DP2,ENSSG626321480
EGFRK64B,ENSSG467513766
JAK401,ENSSG398030066
GATA22VB,ENSSG167806281
HBBDQT2,ENSSG659771303
MAPKL962,ENSSG732824508
HLADTP1,ENSSG082996041
HBB8Q0B,ENSSG545255081
AKTCP83,ENSSG271214252
EGFRKQW3,ENSSG706712306
AKTR1B3,ENSSG663601267
FGFROIB,ENSSG123983443
AKTPLB,ENSSG816354437
HLAGB83,ENSSG112896653
HLA1TRP1,ENSSG913518578
GATA23QA1,ENSSG057555863
CDKB7U1,ENSSG970737434
HLADTF1,ENSSG675715930
CDKGHB,ENSSG823497695
GATA1WP1,ENSSG879784089
EGFR7XUC,ENSSG801958560
FGFRVMW3,ENSSG832761497
BRCAH41,ENSSG086529879
GATA0AMB,ENSSG938842957
SOXOQUC,ENSSG859470630
HLAJOB,ENSSG108854377
GATAKOB,ENSSG204276967
STATZEA1,ENSSG676300646
HBBGWGP1,ENSSG386011272
EGFR269P1,ENSSG311871786
LINCJEB,ENSSG299480020
STATKQ3,ENSSG607425227
STATY1P2,ENSSG258625995
CDKHNP2,ENSSG652181496
HLAOHGL,ENSSG375274961
CDK0UMP2,ENSSG752845804
EGFRZB13,ENSSG539814381
HBBKBKB,ENSSG383233561
GATAHZL,ENSSG744557078
SOX4RC,ENSSG303092461
MYCYJA1,ENSSG385950235
HBB3ZP1,ENSSG081838922
CDKZOL,ENSSG435900270
GATACR3A1,ENSSG275892117
HLAOYNA1,ENSSG651567400
SOX0T1A1,ENSSG816271561
MAPKSZP1,ENSSG018895336
GATA0N1,ENSSG225967083
SOXO7B,ENSSG547222415
BRCARABP2,ENSSG671747948
EGFRLR1P1,ENSSG238304045
BRCAXS1,ENSSG557674340
EGFRB6C,ENSSG227305116
TPNBAC,ENSSG897465453
FGFRS3HP1,ENSSG056378412
BRCAUMHL,ENSSG499765803
EGFRGODC,ENSSG475905980
MAPKOM03,ENSSG259859489
TPP92,ENSSG330600031
SOXY7A1,ENSSG299145119
STATNYUP2,ENSSG587256366
BRCANJHB,ENSSG886134792
FGFRFUB,ENSSG722528100
FGFRIWEC,ENSSG172379440
HBBF5P2,ENSSG907534195
AKTKLP2,ENSSG665798810
AKT2RZL,ENSSG423654185
BRCAUAL,ENSSG706971851
EGFRWQ8L,ENSSG480176269
HBBSY2,ENSSG353265227
FGFR0XOC,ENSSG430445187
LINCOOIP2,ENSSG907371792
EGFRLS3,ENSSG983441341
STAT44A1,ENSSG690951528
MYC4F3,ENSSG551543796
GATA7IC,ENSSG800131398
EGFRN6C,ENSSG206198700
GATA8T3,ENSSG151700601
GATAWKC,ENSSG772652158
TPSZC,ENSSG702575379
LINCLNC,ENSSG651044648
AKTWSB,ENSSG667309580
TPZ4W1,ENSSG900076010
SOXOFQB,ENSSG233949853
JAKJT3,ENSSG726379407
MYCSTXP2,ENSSG052123454
LINCNV0L,ENSSG963252032
CDKDFL,ENSSG895878536
TP6LMA1,ENSSG158967779
GATA63L,ENSSG032785809
CDKXH2,ENSSG217337266
LINCQUN2,ENSSG725126019
LINCZU3A1,ENSSG123903776
EGFR0E3,ENSSG787380159
EGFRYT3,ENSSG955095301
HBBEHPP1,ENSSG476126861
SOX9EC,ENSSG855412903
MYC80PB,ENSSG916144422
LINCTRA1,ENSSG756979973
HBB1CUL,ENSSG735558524
HBBF53,ENSSG474486560
HBB2BGP1,ENSSG676379328
EGFRZL42,ENSSG306767868
CDKVU6A1,ENSSG183476464
LINCU1P1,ENSSG885157284
GATANFWA1,ENSSG490564791
FGFRJMOL,ENSSG074935103
GATAMSP2,ENSSG711976862
FGFR83P3,ENSSG472649392
FGFRQV1,ENSSG341090104
AKTABGC,ENSSG143349794
STATJV1,ENSSG034471273
LINCULC,ENSSG257913284
FGFRES93,ENSSG927774334
JAKQRFP1,ENSSG121557781
AKT7LBC,ENSSG873059467
HBBXDA1,ENSSG919686622
SOXUML,ENSSG633593360
MYCN203,ENSSG580441989
GATAKCC,ENSSG480017577
HBB321,ENSSG456152071
MAPK4ZIC,ENSSG883082191
CDKFOJP2,ENSSG690940133
FGFRJLLL,ENSSG511835768
LINC0YC,ENSSG192547189
STATAV63,ENSSG406371447
TPA5L,ENSSG688859684
CDKQHL,ENSSG965201943
MYCLRC,ENSSG485437088
CDKKJC,ENSSG161694294
SOX4CP2,ENSSG736164736
HBBMQO2,ENSSG772620172
MAPKWEL,ENSSG889379271
BRCAGZ7L,ENSSG280595607
CDKOCB,ENSSG958449553
CDKMSVP2,ENSSG815004780
FGFRQTS2,ENSSG565254002
JAKKWL,ENSSG218963457
MAPK1PP1,ENSSG649769255
HBBYYL,ENSSG850168185
MAPK6N2,ENSSG881445865
HBBOYUA1,ENSSG125142536
AKT8W7B,ENSSG671321035
EGFRPNA1,ENSSG471862023
FGFR0DDA1,ENSSG412922550
BRCABWB,ENSSG137487533
AKT2I1,ENSSG140160700
MYC4A3C,ENSSG572064781
TPPCP1,ENSSG198412622
GATAV0A1,ENSSG977483304
BRCA2181,ENSSG266263893
CDKA6XB,ENSSG281917167
TP3RY2,ENSSG139452136
STATJF81,ENSSG051854434
JAKWV2,ENSSG359779819
STATQ92,ENSSG226220579
MAPK4Z1,ENSSG414690512
TPIF1,ENSSG571020739
MYCDPPL,ENSSG110898674
STATRRC1,ENSSG527506369
MYCDPWL,ENSSG227057718
AKTJ93,ENSSG690328469
FGFR9WVP2,ENSSG777300764
JAKNQP2,ENSSG178621103
LINCZ3L,ENSSG248987341
LINCDKEB,ENSSG058373643
EGFRSRJ1,ENSSG604340343
MAPKZEP1,ENSSG661414661
BRCAUJ1,ENSSG054351794
FGFRC70A1,ENSSG768646505
CDKXC3,ENSSG958672807
TPZI2,ENSSG019842857
AKTN4C,ENSSG284862829
FGFRODXA1,ENSSG011525933
GATA8ML,ENSSG558337929
JAKD6P1,ENSSG543660253
HBB4GL,ENSSG723876973
STATBF6A1,ENSSG758523092
JAK0FC,ENSSG517818999
SOX35A2,ENSSG902560005
CDKA9L,ENSSG834418489
SOX1BZP2,ENSSG472541766
HBBRL3,ENSSG949752439
LINCSTJC,ENSSG997428506
MYCOEP2,ENSSG064404307
STATJA8C,ENSSG995171611
BRCAUDML,ENSSG064707046
GATAOUC,ENSSG200813649
CDKNG8C,ENSSG877120727
TPFJ1,ENSSG666609243
BRCA7SG3,ENSSG026375180
MAPKFPB,ENSSG527967067
AKTN4P1,ENSSG938609682
LINCQL1,ENSSG636360990
MYCIEP1,ENSSG721155580
GATA99IA1,ENSSG382477900
HBBANVC,ENSSG561028135
FGFR84C,ENSSG462377968
AKTIGXL,ENSSG194508731
STATIBB,ENSSG537005452
MYCGA2,ENSSG313686946
AKT6CC,ENSSG423506952
EGFRR1TP1,ENSSG471140739
JAK3UVA1,ENSSG105028677
GATAM0A1,ENSSG245316555
GATAFYP2,ENSSG065856701
LINC4YL,ENSSG302042574
HLAFZL,ENSSG255714999
MYCY98P2,ENSSG549807452
BRCAIO2,ENSSG783326697
CDK8G3,ENSSG694275501
TPB6RA1,ENSSG161250221
BRCAWQ02,ENSSG997460623
LINC443,ENSSG842108092
JAKRM3,ENSSG247349190
GATAIX3,ENSSG526068618
GATAKQ2C,ENSSG390626218
AKTKBUP1,ENSSG990052147
GATA4591,ENSSG626552371
GATA0B1,ENSSG233825638
SOX4H8P1,ENSSG280828189
BRCATNFB,ENSSG104609687
FGFRRAP2,ENSSG621802694
JAKGH52,ENSSG837900725
HLAPX6L,ENSSG435171448
MYCDFAP1,ENSSG411011918
FGFRIMX3,ENSSG474916816
STATBYX3,ENSSG796559146
GATAGPKP2,ENSSG579663021
FGFRJZC,ENSSG836423781
SOXPV4P2,ENSSG182010336
BRCAEKC,ENSSG896503651
MYC1UM2,ENSSG368681372
HLAQ2P2,ENSSG322478726
CDK05P2,ENSSG035006538
EGFRES1,ENSSG427068936
MYCSO9C,ENSSG046566409
GATA6FA1,ENSSG467765058
MYCLVP1,ENSSG645287659
BRCA4G9B,ENSSG063473725
FGFRSRP2,ENSSG672183694
STATIKUC,ENSSG790165563
EGFRHYA1,ENSSG724862528
SOXN2NC,ENSSG380979384
CDKDCQ1,ENSSG718115574
BRCAF47B,ENSSG128615591
FGFRA33,ENSSG459803329
FGFRBC1A1,ENSSG743536879
TPEK1,ENSSG587009268
JAK3H1,ENSSG818783394
HBB0ZC,ENSSG606823607
TPF8BL,ENSSG594509630
SOXUM33,ENSSG506204533
HLATFP2,ENSSG036490047
MAPKQDP2,ENSSG213640686
LINCEN2P1,ENSSG271226443
MYC20NP1,ENSSG326634745
AKTQLC,ENSSG439139713
MAPKITEC,ENSSG854214138
LINCNWOB,ENSSG236771376
HLAGI41,ENSSG558442689
GATAS1P2,ENSSG639029886
MYC091,ENSSG348054144
GATA33ZA1,ENSSG094188482
AKT3RC,ENSSG506109702
CDK9X1,ENSSG992973751
CDKKO5C,ENSSG551725927
MAPKWRH1,ENSSG488442815
LINCG443,ENSSG250567428
FGFRHK8A1,ENSSG029712737
MYCF9P1,ENSSG774612641
HLAO1HC,ENSSG575756893
JAK3MP1,ENSSG421509091
FGFRE5L,ENSSG549708551
CDK8JP2,ENSSG924841266
EGFRB93A1,ENSSG503939643
STATNEC,ENSSG195703715
MYCOCPP2,ENSSG720726868
JAKPPB,ENSSG706580056
SOXYI3,ENSSG108937936
GATAVS2,ENSSG606181882
TPMVP1,ENSSG674707812
CDK1563,ENSSG131702018
LINCETA1,ENSSG378022025
STAT54A1,ENSSG862559359
MYCVGC,ENSSG597333949
TPL1B,ENSSG425157666
FGFRJ9PB,ENSSG355465495
GATAXTP1,ENSSG037194425
HBBE6KL,ENSSG952375801
AKT4LML,ENSSG408242839
HLAPVCB,ENSSG130514260
GATA5B7P2,ENSSG858234417
FGFR1XB2,ENSSG949694184
MAPKKLWP1,ENSSG290493491
TP18P2,ENSSG142120110
LINCWXB,ENSSG997305593
CDKJFA1,ENSSG006943466
JAK14B,ENSSG548226011
GATA7Z1,ENSSG653228194
EGFR2ZLC,ENSSG432778506
BRCAMCL,ENSSG313791524
JAKPY2,ENSSG902503519
FGFRSB3,ENSSG696179086
AKT2LZP1,ENSSG343397973
STATRGL,ENSSG691496779
CDK4WUB,ENSSG114564262
GATAK2C,ENSSG184982302
STATLV6P1,ENSSG475004636
MYCC0C,ENSSG435829073
MYCXIE1,ENSSG430482420
GATASPA1,ENSSG478785527
SOX8FYL,ENSSG865743496
FGFRT4AL,ENSSG349371414
FGFRJHMC,ENSSG187191843
FGFR6QTP1,ENSSG109987492
LINCCUB,ENSSG408346689
HBBELB,ENSSG658023955
AKTHNQB,ENSSG344223659
AKT3C1,ENSSG753824795
JAK9JP2,ENSSG574673488
HLAM91,ENSSG769412725
HLAI06P2,ENSSG422107322
FGFR3I8P2,ENSSG236671836
GATAHQKL,ENSSG618605725
TPIMZP2,ENSSG606301561
HLAVE13,ENSSG998995132
MAPKX93,ENSSG943088801
FGFRD8L2,ENSSG979117183
HBBG803,ENSSG805953255
EGFRICC,ENSSG507426086
STATA4DP1,ENSSG419792870
HBBTGTA1,ENSSG820732098
HLA51P1,ENSSG529411747
HBBGG22,ENSSG462334671
GATAM51,ENSSG606438854
BRCATZL,ENSSG041057161
HBB5YJP1,ENSSG302036861
HBBVGA1,ENSSG904039412
EGFR0KA1,ENSSG959582611
TP2VC,ENSSG650226119
HLAVEC3,ENSSG713049129
GATALK6P1,ENSSG188041758
BRCASJLP1,ENSSG711487888
CDK7HBB,ENSSG796302057
TP1ZP1,ENSSG738831000
TPGIHP2,ENSSG145736899
JAKM3D3,ENSSG647079158
AKTR54C,ENSSG723192376
HBB8H91,ENSSG746945014
STAT6D0A1,ENSSG750708397
GATALLB,ENSSG077080803
CDKJMZP1,ENSSG841277781
STATB51,ENSSG040683574
HBBCGC,ENSSG601117842
EGFRQE0B,ENSSG594097719
FGFR09B,ENSSG083255926
GATAHOA1,ENSSG238461181
LINCE71,ENSSG454431068
STATFXC,ENSSG099605874
FGFR9J3,ENSSG017699964
JAKWQ4P2,ENSSG925776042
STATMYI1,ENSSG841732364
SOXBN3,ENSSG656566437
STAT5OSP1,ENSSG566056720
FGFRN23,ENSSG332170759
GATAA5HC,ENSSG579233226
SOXYL1,ENSSG959643484
MAPKAA9P2,ENSSG257509077
GATAQ3CP2,ENSSG899614652
MYCQUP2,ENSSG809338721
HLAOIP1,ENSSG542225873
EGFRUZL,ENSSG726495417
STATDTWC,ENSSG889862625
HBBDI5L,ENSSG778464174
AKTCBQ1,ENSSG156053208
TPL0A1,ENSSG966534493
AKTDL7P1,ENSSG241923970
MAPKMLMA1,ENSSG591704465
LINC8NA1,ENSSG041242758
CDKLPA1,ENSSG274100693
GATALVA1,ENSSG645973582
FGFRJQ31,ENSSG647940753
HLA06A3,ENSSG818554065
MYC1A4L,ENSSG861907744
GATA9DP2,ENSSG229624339
JAKGTP2,ENSSG775042048
JAKRTIP2,ENSSG417208672
FGFRQ62,ENSSG449499271
HBB8ZH2,ENSSG317328642
MAPK7D3P1,ENSSG810325826
LINCZPP2,ENSSG510027108
AKTFPA1,ENSSG778704234
EGFRJM2,ENSSG227221758
EGFR931,ENSSG577131532
GATAB8P1,ENSSG684416393
GATAE5L,ENSSG820657646
LINCSM3,ENSSG256447773
GATAFRL,ENSSG776441810
GATA0U2A1,ENSSG337230432
FGFRPAB,ENSSG180309998
HLAJW3,ENSSG616507794
CDK6HP1,ENSSG778534574
GATATGHC,ENSSG925052192
FGFREQ2,ENSSG248501997
TP6S9C,ENSSG459009898
MAPK5QQ2,ENSSG297910024
HLA03A1,ENSSG263042565
HBB9YMP1,ENSSG403216398
MYC8HL,ENSSG128895580
FGFRCBD1,ENSSG756594669
AKTUZP2,ENSSG610932446
EGFR1PP2,ENSSG620400230
GATAIUB,ENSSG124238831
AKTY4L,ENSSG803551895
MAPKYUPL,ENSSG984183521
FGFRX0T3,ENSSG608411218
BRCA4B2,ENSSG046296891
CDKUQUA1,ENSSG781894930
STATN65A1,ENSSG454677243
BRCAKRL,ENSSG246697474
JAKPNL,ENSSG892717180
HBB79C3,ENSSG283281962
MYC7IA1,ENSSG653164303
GATAN1K3,ENSSG505608611
GATAECC,ENSSG713961233
CDK5QL,ENSSG452061857
CDK7QEA1,ENSSG897851292
JAKRY2,ENSSG071032742
GATAXCA1,ENSSG173477895
MYCM4P1,ENSSG854693658
HBBZ3A3,ENSSG472379737
GATA7D6C,ENSSG896430711
SOXA7A1,ENSSG998658087
BRCAUOK2,ENSSG670238751
EGFRWPL,ENSSG776113869
MYCAMCA1,ENSSG041467546
TPKIAP2,ENSSG036791198
LINCFA1,ENSSG196185278
EGFRSTC,ENSSG519153129
BRCAHX92,ENSSG267081631
AKTVGIA1,ENSSG119165694
AKT22B,ENSSG711376899
SOXTAL,ENSSG330717908
FGFRY2H3,ENSSG222881077
BRCAMVC,ENSSG418677717
AKTRD9C,ENSSG130837660
STAT670L,ENSSG365468452
TP7A3,ENSSG736624990
CDKZEP2,ENSSG994932324
EGFR4BEP1,ENSSG218775530
HLA9K1,ENSSG444843874
MAPK031,ENSSG826510095
FGFRMC3B,ENSSG380565992
BRCAI63,ENSSG479118765
CDK4BA1,ENSSG890117863
CDKPBKB,ENSSG928937322
MYCDHHP1,ENSSG114539634
BRCAB3RP1,ENSSG562226259
AKTI2P2,ENSSG659671618
CDKGH2,ENSSG766853052
HLAHHB1,ENSSG606123932
HBBHCR3,ENSSG400176270
JAKIA3,ENSSG478954924
MAPK30H1,ENSSG426126548
GATA3VSA1,ENSSG340961885
AKT6BB,ENSSG727225128
AKTTGA1,ENSSG063838131
CDK7G63,ENSSG237771485
GATAFKB,ENSSG569541142
MAPKCIC,ENSSG239954674
TPLOC,ENSSG917956859
HLAD5OA1,ENSSG466143692
SOX7UC,ENSSG462292433
LINCS41L,ENSSG086904141
HBBAPWA1,ENSSG720395561
GATAFTBC,ENSSG616938035
HLAWZXP1,ENSSG313761258
AKTICVP1,ENSSG629330257
HBBOEBP2,ENSSG360316741
TPF85L,ENSSG415189672
JAKF2P1,ENSSG960149596
STAT4MP2,ENSSG111309827
STATD0C,ENSSG743398751
LINCA6L,ENSSG172328831
GATA6DC,ENSSG383027058
GATAVIA1,ENSSG615913528
STATFD1,ENSSG053819907
BRCA7AA1,ENSSG857225932
CDKKSL,ENSSG876617695
HBBMUZC,ENSSG257417250
SOXA10B,ENSSG792902258
AKTRDOA1,ENSSG771064338
MYCOUBP2,ENSSG673569234
LINC41P2,ENSSG917417562
BRCAS7V3,ENSSG971941139
LINC79L,ENSSG680178567
JAKBRB,ENSSG283157352
LINCVCP1,ENSSG173505106
MYCE262,ENSSG090567564
TPP8SB,ENSSG858165972
STATAJ8P2,ENSSG604972731
EGFRXPC,ENSSG962407206
FGFRF3G2,ENSSG922994599
MAPKL0KC,ENSSG220068515
TPQZP2,ENSSG283324332
HBBA51P2,ENSSG707888886
HLAQTOL,ENSSG335301352
SOXD77L,ENSSG298247499
MYCANM3,ENSSG401741222
STAT67P2,ENSSG158877526
MAPKDPHC,ENSSG182128512
AKTFNA1,ENSSG027323092
JAKHVV3,ENSSG013992705
HBBB62A1,ENSSG171148245
STATFSG2,ENSSG455947250
GATAJN2,ENSSG567206552
JAK7ML,ENSSG224828598
GATAQZA1,ENSSG691690121
MYC23P2,ENSSG682101278
AKTRKA1,ENSSG946176036
AKTJAXB,ENSSG323831416
MYCJOP2,ENSSG430758371
MYCW422,ENSSG565183416
SOXPJ1,ENSSG534101796
SOXE9SA1,ENSSG597387675
AKTO82,ENSSG369338615
HLAD2T3,ENSSG569575150
AKTIPP1,ENSSG501552951
FGFRUW13,ENSSG155121520
SOXVQAP1,ENSSG653065234
HBBUUQ1,ENSSG785159296
BRCAJM2,ENSSG402835252
JAKLCL,ENSSG263561359
HBBEV5A1,ENSSG043305089
TP8KC,ENSSG335739082
AKT719B,ENSSG239915108
MYCXWB,ENSSG105147179
GATASC7B,ENSSG551091601
HBBSVWP1,ENSSG616183926
EGFRE92,ENSSG061917086
CDKY0RP2,ENSSG034902841
MYCZHAA1,ENSSG807792321
HLA8VP2,ENSSG024029575
GATA1UC,ENSSG265253882
HLAQT83,ENSSG873361060
MYCXU2,ENSSG409339965
SOXFM1,ENSSG272053803
HBB1Q0P2,ENSSG715448781
MYCOFP2,ENSSG402193443
LINCDSB,ENSSG910131096
JAKUSB,ENSSG483159213
BRCAS5WB,ENSSG904742723
CDKXPML,ENSSG682049788
LINCDQ5P2,ENSSG139445590
STATT72,ENSSG328478668
EGFRS8SL,ENSSG443020478
SOXK3P1,ENSSG090748213
EGFRWMP2,ENSSG400167078
HLA6T8C,ENSSG647258765
AKTIHA1,ENSSG909833459
HBB7KR1,ENSSG942379596
SOXL33,ENSSG562830626
GATAX1R2,ENSSG186676330
JAK02B,ENSSG789377138
HLAZ91L,ENSSG881729506
AKTVV2,ENSSG317335810
HLAN2L,ENSSG866293700
GATAHHJB,ENSSG161608551
MYCVRCA1,ENSSG013866670
BRCAP3P1,ENSSG282382941
MYCLS3,ENSSG150075459
GATA1ZL,ENSSG585529067
BRCA8H2,ENSSG156055760
LINCDFA1,ENSSG869316327
AKTXQL,ENSSG856544502
GATACJKB,ENSSG169972323
GATA9QB,ENSSG378077747
AKT4PL,ENSSG571362672
FGFR0JGL,ENSSG106912364
AKTFB3,ENSSG988000994
GATAV72,ENSSG757464104
HBBLRC,ENSSG476086125
JAKK12,ENSSG067256228
MAPKP9HL,ENSSG555721151
FGFR6ZLL,ENSSG894902682
HLAYM2,ENSSG733889063
LINCLOC,ENSSG488551525
SOXONPA1,ENSSG172740149
GATASGP2,ENSSG869808010
STATRDT2,ENSSG954421902
TPQEN2,ENSSG602654342
FGFRS4VL,ENSSG231854817
HBBZ1P2,ENSSG484174721
TPPCLL,ENSSG306952034
GATA0MLB,ENSSG494487490
BRCAOS3,ENSSG334810660
MAPKZ3A1,ENSSG187106907
SOXJN3,ENSSG571882991
STATCH1,ENSSG103410453
MAPKWQL,ENSSG748866967
MYCL2A1,ENSSG842338265
FGFR5JDL,ENSSG671176176
CDKV1S3,ENSSG119700757
JAKHRGB,ENSSG062179563
AKT9NP1,ENSSG857052354
MYCIAC,ENSSG811422577
EGFR7Z3,ENSSG434072521
HLAFZP1,ENSSG490984981
HBBSNOP2,ENSSG365270991
HBBH7C,ENSSG313478204
BRCA0VA1,ENSSG600247184
BRCAL2P1,ENSSG161481037
JAKC75P2,ENSSG164165355
HLADNDC,ENSSG395589664
EGFRZDB,ENSSG259925787
JAKNQQ1,ENSSG263252250
MAPKDK1,ENSSG040647730
HLAVHP1,ENSSG816006382
CDK19C,ENSSG354616940
HBBU29P2,ENSSG270136020
EGFRTRP1,ENSSG240340538
BRCAY7LL,ENSSG864017999
AKTT1B1,ENSSG543488635
JAK1I2,ENSSG032063831
STATLD3,ENSSG724828678
HBBJEH2,ENSSG640861843
CDKUQC3,ENSSG699614982
STAT5OP1,ENSSG813672062
HLA6DDB,ENSSG566944891
LINC9NB,ENSSG756237234
LINCKT8P1,ENSSG140824127
MAPKKHP1,ENSSG288411248
HBB52A1,ENSSG250519341
JAK18C,ENSSG638149829
BRCAOZ1,ENSSG217452486
FGFRV1EP1,ENSSG407477091
MAPKCVP1,ENSSG457110110
GATAVEPB,ENSSG907526891
AKTO8Q1,ENSSG605493890
MYCRXP2,ENSSG453845155
STATG72,ENSSG359685127
HLA99J2,ENSSG248744566
HLATV9P1,ENSSG998127918
CDKLC1,ENSSG761643674
SOXYLOB,ENSSG366951928
BRCAR0P1,ENSSG481863236
TPHZ1,ENSSG880177048
FGFRW0Z3,ENSSG612191854
JAK0J2,ENSSG074569573
MYC7TL,ENSSG516171168
GATA0NPP2,ENSSG759536613
AKT38P1,ENSSG857065241
STATQP3,ENSSG316354309
FGFRJWFP1,ENSSG776455923
AKTZPA1,ENSSG415099287
JAK43B,ENSSG912201823
LINC2YLB,ENSSG316833896
TPDWRC,ENSSG316673833
HLAV3L,ENSSG329325983
MYCQ10P2,ENSSG968877076
STAT51MP2,ENSSG841881054
HBB3DP3,ENSSG811631008
MAPKS2C,ENSSG911720893
MAPKD6RP2,ENSSG515157330
AKTQNC,ENSSG503845179
SOXFL3,ENSSG333365085
FGFRPSQ3,ENSSG130584176
TP3OL,ENSSG016073100
JAKJL4P1,ENSSG377183897
CDK6A4C,ENSSG163821727
TPKNP1,ENSSG680144991
FGFR4ZL,ENSSG512802312
TP91MP2,ENSSG629346168
SOXUSP2,ENSSG136500493
HBB4C2,ENSSG181203763
AKT0R83,ENSSG830739944
JAKLJLC,ENSSG605946493
AKT364L,ENSSG865969484
LINCGBBC,ENSSG070239515
HBB701,ENSSG867723467
BRCAKCXA1,ENSSG542833845
LINC7VC,ENSSG592321070
MYCR3WL,ENSSG059410322
GATAE9P1,ENSSG035551622
MYCIQA2,ENSSG118621292
SOX9HP2,ENSSG484710049
HLARHB,ENSSG869675492
MYCX8A1,ENSSG694718803
MAPKW0Z2,ENSSG456016896
EGFR02P1,ENSSG287423008
HBB1VA1,ENSSG448369051
MYC14C,ENSSG198279902
CDKYAK2,ENSSG495691214
CDKU7P2,ENSSG193418689
BRCAWDA1,ENSSG676895196
MYCM8P1,ENSSG513704236
SOXZA2,ENSSG715666433
HLABWB,ENSSG689149365
SOXJ8P1,ENSSG149984359
CDKPIB,ENSSG936679701
TPERG2,ENSSG555961835
STATA5ML,ENSSG224843337
LINC1AJ2,ENSSG695549287
BRCA41SB,ENSSG455916489
LINCWZX3,ENSSG595929825
LINCBEJB,ENSSG383238958
AKTG8GB,ENSSG233802715
HBB9R12,ENSSG177168262
AKTQ4P2,ENSSG768043014
LINC0JY3,ENSSG022750496
EGFRMCP2,ENSSG707754776
MYCUTTA1,ENSSG429060494
LINCGLA1,ENSSG789539419
GATAPGP2,ENSSG561816799
TPLXOL,ENSSG189111438
MYC1SB,ENSSG295948866
STAT4RZC,ENSSG760318939
AKT7BL,ENSSG263436570
